Category,Name,Type,Address,Latitude,Longitude
기타,아토믹버거쉽,기타,대전 서구 관저동로105번길 60,36.2991,127.3450
대표명소,유성온천,대표명소,대전 유성구 봉명동 574,36.3561,127.3265
대표명소,으능정이문화의거리,대표명소,대전 중구 은행동 45-10,36.3273,127.4225
대표명소,대전문화예술단지,대표명소,대전 서구 둔산대로 135,36.3517,127.3782
대표명소,동춘당,대표명소,대전 대덕구 동춘당로 80,36.4305,127.4204
대표명소,대전둘레산길,대표명소,대전 중구 문화동 산 18-1,36.3111,127.4051
대표명소,효문화마을,대표명소,대전 중구 뿌리공원로 47,36.3336,127.4052
대표명소,대청호반,대표명소,대전 동구 추동 333,36.4724,127.4640
대표명소,엑스포과학공원,대표명소,대전 유성구 엑스포로 85,36.3779,127.3831
대표명소,뿌리공원,대표명소,대전 중구 뿌리공원로 79,36.3331,127.4077
대표명소,오-월드,대표명소,대전 중구 사정공원로 70,36.2846,127.4182
대표명소,계족산 황톳길,대표명소,대전 대덕구 장동 453-1,36.4131,127.4713
생태환경명소,유성온천 족욕체험장,생태환경명소,대전 유성구 봉명동 574,36.3561,127.3265
대표명소,장태산자연휴양림,대표명소,대전 서구 장안로 461,36.3104,127.3228
생태환경명소,대청호 오백리길,생태환경명소,대전 대덕구 대청로 618-136,36.4588,127.4451
대표명소,한밭수목원,대표명소,대전 서구 둔산대로 169,36.3580,127.3811
생태환경명소,금강로하스 에코파크,생태환경명소,대전 대덕구 대청로 167,36.4491,127.4272
과학명소,카이스트(KAIST),과학명소,대전 유성구 대학로 291,36.3741,127.3568
과학명소,엑스포과학공원과 세계엑스포 기념품박물관,과학명소,대전 유성구 대덕대로 480,36.3765,127.3831
과학명소,한국표준과학연구원,과학명소,대전 유성구 가정로 267,36.3839,127.3725
과학명소,한국전자통신연구원,과학명소,대전 유성구 가정로 218,36.3808,127.3673
과학명소,국립중앙과학관,과학명소,대전 유성구 대덕대로 481,36.3772,127.3840
과학명소,한국한의학연구원,과학명소,대전 유성구 유성대로 1672,36.3539,127.2971
과학명소,대전시민천문대,과학명소,대전 유성구 과학로 213-48,36.3975,127.3696
